,comment
0,我爷爷说他老爹以前有这手艺，你敢信？
1,可惜没传下来
2,据说主要做的是墨，他也能做毛笔[点赞][惊喜]，老家本来有两幅他老人家留下字，但是筑新楼的时候遗失了
3,我老姥爷以前有个砚台厂，我妈小时候还去自己做砚台。可惜后来厂子关掉了…我都没见过！只剩下家里我妈亲手做的那个砚台…
4,回复 @唐家17号 :我爸爸说我爷爷会毛笔字，会做木具，我的床，客厅的客桌，房间的箱子都是我爷爷做的，（骄傲）可惜我爸爸也不会
5,学国画的要哭了，我老师买笔墨纸砚和颜料什么都从来不还价，人家要多少就给多少，他说本来做这个的人就越来越少了，大家都还价的话，手艺人挣不到钱，渐渐的就没人做了，就不说传承中华古老技艺了，我们今后该从哪里去买这些好材料画画？看子柒的视频真是太感动了！
6,太辛苦了匠人们，而且也没多少人做这些了
7,喜欢你的老师哦  真的是个好老师
8,回复 @0未晞 :我老师是真的好，很多理念让人尊敬
9,笔墨纸砚是中国独有的文书工具，即文房四宝。笔、墨、纸、砚之名，起源于南北朝时期。历史上，“笔、墨、纸、砚”所指之物屡有变化。在南唐时，“笔、墨、纸、砚”特指宣城诸葛笔、徽州李廷圭墨、澄心堂纸，徽州婺源龙尾砚。自宋朝以来“笔墨纸砚”则特指宣笔（安徽宣城)、徽墨（安徽徽州歙县)、宣纸（安徽宣城泾县)、歙砚（安徽徽州歙县）、洮砚（甘肃卓尼县）、端砚（广东肇庆，古称端州），元代以后湖笔（浙江湖州）渐兴，宣笔渐衰，改革开放后，宣笔渐渐恢复了生机。作为文房四宝的故乡的安徽宣城，是我国文房四宝最正宗的原产地和饮誉世界的“中国文房四宝之乡”，所产的宣纸（泾县）、宣笔（泾县/旌德）、徽墨（绩溪/旌德）、宣砚（旌德）举世闻名，为历代文人墨客所追捧。
10,——百度百科
11,徽墨，安徽省黄山市、宣城市特产，国家地理标志产品。
12,徽墨有落纸如漆，色泽黑润，经久不褪，纸笔不胶，香味浓郁，奉肌腻理等特点，素有拈来轻、磨来清、嗅来馨、坚如玉、研无声、一点如漆、万载存真的美誉。
13,2015年12月，徽墨成功获批国家地理标志保护产品称号。[1]
14,中文名
15,徽墨
16,外文名
17,Huizhou ink
18,产地名称
19,安徽省黄山市、宣城市
20,品质特点
21,落纸如漆，色泽黑润
22,地理标志
23,国家质检总局地理标志产品[2]
24,产品特点
